minute,Barca_Press_Location,Betis_Press_Location,Barca_Goal,Betis_Goal
0,84.5,66.9,0,0
1,62.888888888888886,59.6,0,0
2,34.714285714285715,99,0,0
3,55.9,80.33333333333333,0,0
4,40.25,54.75,0,0
5,49,62.5,0,0
6,56,62.27272727272727,0,0
7,63,19,0,0
8,77,47.666666666666664,0,0
9,30,101.4,0,0
10,44.125,70.2,0,0
11,65.75,39,0,0
12,10,87,0,0
13,81.66666666666667,67.28571428571429,0,0
14,73.66666666666667,40.8,0,0
15,92.88888888888889,22,0,0
16,88.4675925925926,35.75,0,0
17,84.04629629629629,49.5,1,0
18,79.625,63.25,0,0
19,48.22222222222222,77,0,0
20,62.142857142857146,34.75,0,0
21,79,73,0,0
22,63,69.33333333333333,0,0
23,95.14285714285714,38,0,0
24,77,35.875,0,0
25,44.833333333333336,33.75,0,0
26,60.125,58.125,0,0
27,23.7,82.5,0,0
28,36,76.25,0,0
29,47.64285714285714,70,0,0
30,59.285714285714285,48.333333333333336,0,0
31,76.5,49,0,0
32,20.4,98.5,0,0
33,33.5,98.66666666666667,0,0
34,40.333333333333336,87.375,0,0
35,47.166666666666664,76.08333333333334,0,0
36,54,64.79166666666667,0,0
37,50.5,53.5,0,0
38,57,42.25,0,0
39,90.66666666666667,31,0,0
40,37.2,42.333333333333336,0,0
41,80,27,0,0
42,55,65,0,0
43,80,11,0,0
44,105,36.15,0,0
45,63.333333333333336,61.3,0,0
46,58,56.333333333333336,1,0
47,49,65,0,0
48,31.666666666666668,45.66666666666667,0,0
49,60,36,0,0
50,35.888888888888886,106,0,0
51,25.2,67.5,0,0
52,87,29,0,0
53,95.5,43.5,0,0
54,104,51.4,0,0
55,106.66666666666667,59.3,0,0
56,64.5,67.2,0,0
57,53.333333333333336,75.1,0,0
58,46.166666666666664,83,0,0
59,97.625,50.166666666666664,0,0
60,38,86.33333333333333,0,0
61,50,60.166666666666664,0,0
62,71,34,1,0
63,65.5,45.625,0,0
64,62.75,57.25,0,0
65,57.833333333333336,86,0,0
66,39.41666666666667,81.66666666666667,0,0
67,21,77.33333333333333,0,0
68,20.666666666666668,73,0,0
69,31.6,94.5,0,0
70,34.75,36,0,0
71,45.75,71.25,0,0
72,56.75,42,0,0
73,67.75,42,0,0
74,25.166666666666668,50.83333333333333,0,0
75,26.416666666666668,59.666666666666664,0,0
76,27.666666666666668,50.20833333333333,0,0
77,31.666666666666668,40.75,0,0
78,16.666666666666668,57.160714285714285,0,0
79,86,73.57142857142857,0,0
80,87.4,67.75,0,0
81,13.25,45.375,0,1
82,77,23,0,0
83,57.333333333333336,23,0,0
84,37.66666666666667,23,1,0
85,18,36.9,0,0
86,27.5,50.8,0,0
87,25,64.69999999999999,0,0
88,50.166666666666664,78.6,0,0
89,75.33333333333333,92.5,0,0
90,100.5,72,0,0
91,83.5,25.5,0,0
92,81.5,59,0,0
93,74.2,60,0,0
